name,value,year,lastValue,rank
Zach LaVine,25.0,2021-10-19,25.0,1
Montrezl Harrell,18.38,2021-10-19,18.38,2
Rudy Gobert,17.72,2021-10-19,17.72,3
Harrison Barnes,17.23,2021-10-19,17.23,4
Karl-Anthony Towns,16.75,2021-10-19,16.75,5
Jaylen Brown,16.02,2021-10-19,16.02,6
Anthony Davis,15.58,2021-10-19,15.58,7
Nikola Jokic,15.01,2021-10-19,15.01,8
LeBron James,14.57,2021-10-19,14.57,9
Domantas Sabonis,14.42,2021-10-19,14.42,10
Zach LaVine,25.0,2021-10-19,25.0,1
Montrezl Harrell,18.38,2021-10-19,18.38,2
Rudy Gobert,17.72,2021-10-19,17.72,3
Harrison Barnes,17.23,2021-10-19,17.23,4
Karl-Anthony Towns,16.75,2021-10-19,16.75,5
Jaylen Brown,16.02,2021-10-19,16.02,6
Stephen Curry,15.88,2021-10-19,15.88,7
Anthony Davis,15.58,2021-10-19,15.58,8
Paul George,15.4,2021-10-19,15.4,9
Nikola Jokic,15.01,2021-10-19,15.01,10
Nikola Jokic,19.17,2021-10-19,15.01,1
Zach LaVine,18.36,2021-10-19,25.0,2
Kevin Durant,17.43,2021-10-19,17.43,3
Karl-Anthony Towns,16.75,2021-10-19,16.75,4
Rudy Gobert,16.27,2021-10-19,17.72,5
Harrison Barnes,15.88,2021-10-19,17.23,6
Stephen Curry,15.88,2021-10-19,15.88,7
Paul George,15.4,2021-10-19,15.4,8
Domantas Sabonis,13.8,2021-10-19,14.42,9
Tyler Herro,13.71,2021-10-19,13.71,10
Nikola Jokic,19.17,2021-10-19,19.17,1
Paul George,17.75,2021-10-19,15.4,2
Kevin Durant,17.43,2021-10-19,17.43,3
Rudy Gobert,16.27,2021-10-19,16.27,4
Harrison Barnes,15.88,2021-10-19,15.88,5
Stephen Curry,15.88,2021-10-19,15.88,6
Zach LaVine,13.92,2021-10-19,18.36,7
Domantas Sabonis,13.67,2021-10-19,13.8,8
Tyler Herro,13.39,2021-10-19,13.71,9
Luka Doncic,13.17,2021-10-19,13.17,10
Nikola Jokic,19.17,2021-10-19,19.17,1
Kevin Durant,18.09,2021-10-19,17.43,2
Paul George,17.75,2021-10-19,17.75,3
Rudy Gobert,16.27,2021-10-19,16.27,4
Stephen Curry,14.94,2021-10-19,15.88,5
Zach LaVine,13.92,2021-10-19,13.92,6
Domantas Sabonis,13.67,2021-10-19,13.67,7
Tyler Herro,13.39,2021-10-19,13.39,8
Harrison Barnes,13.36,2021-10-19,15.88,9
Luka Doncic,13.17,2021-10-19,13.17,10
Nikola Jokic,19.26,2021-10-19,19.17,1
Kevin Durant,17.48,2021-10-19,18.09,2
Rudy Gobert,16.27,2021-10-19,16.27,3
Karl-Anthony Towns,15.04,2021-10-19,16.75,4
Stephen Curry,14.94,2021-10-19,14.94,5
Paul George,14.01,2021-10-19,17.75,6
Domantas Sabonis,13.61,2021-10-19,13.67,7
Harrison Barnes,13.36,2021-10-19,13.36,8
Luka Doncic,13.17,2021-10-19,13.17,9
Julius Randle,13.05,2021-10-19,13.05,10
Nikola Jokic,18.44,2021-10-19,19.26,1
Kevin Durant,17.48,2021-10-19,17.48,2
Karl-Anthony Towns,15.04,2021-10-19,15.04,3
Rudy Gobert,14.68,2021-10-19,16.27,4
Paul George,14.01,2021-10-19,14.01,5
Stephen Curry,13.87,2021-10-19,14.94,6
Domantas Sabonis,13.61,2021-10-19,13.61,7
Luka Doncic,13.44,2021-10-19,13.17,8
Harrison Barnes,13.36,2021-10-19,13.36,9
Jimmy Butler,13.01,2021-10-19,13.01,10
Nikola Jokic,18.44,2021-10-19,18.44,1
Kevin Durant,16.9,2021-10-19,17.48,2
Rudy Gobert,14.68,2021-10-19,14.68,3
Giannis Antetokounmpo,14.64,2021-10-19,14.64,4
Karl-Anthony Towns,14.08,2021-10-19,15.04,5
Stephen Curry,13.87,2021-10-19,13.87,6
Luka Doncic,13.44,2021-10-19,13.44,7
