name,value,year,lastValue,rank,tid
Nikola Jokic,18.44,2021-10-27,18.44,1,#fcc624
Rudy Gobert,14.68,2021-10-27,14.68,2,#244e34
Giannis Antetokounmpo,14.64,2021-10-27,14.64,3,#2c4e3c
Luka Doncic,13.44,2021-10-27,13.44,4,#1452b4
Jonas Valanciunas,12.64,2021-10-27,12.64,5,#0c223c
Jakob Poeltl,9.71,2021-10-27,9.71,6,#161616
Nikola Vucevic,9.35,2021-10-27,9.35,7,#bc062c
Jusuf Nurkic,8.25,2021-10-27,8.25,8,#cc0a2c
Ricky Rubio,7.3,2021-10-27,7.3,9,#6f243c
OG Anunoby,7.23,2021-10-27,7.23,10,#bc0f33
Nikola Jokic,18.44,2021-10-28,18.44,1,#fcc624
Giannis Antetokounmpo,14.64,2021-10-28,14.64,2,#2c4e3c
Rudy Gobert,14.44,2021-10-28,14.68,3,#244e34
Jonas Valanciunas,12.64,2021-10-28,12.64,4,#0c223c
Luka Doncic,11.91,2021-10-28,13.44,5,#1452b4
Nikola Vucevic,10.76,2021-10-28,9.35,6,#bc062c
Jakob Poeltl,9.64,2021-10-28,9.71,7,#161616
Jusuf Nurkic,8.25,2021-10-28,8.25,8,#cc0a2c
Bojan Bogdanovic,7.35,2021-10-28,7.35,9,#244e34
Ricky Rubio,7.3,2021-10-28,7.3,10,#6f243c
Nikola Jokic,18.37,2021-10-29,18.44,1,#fcc624
Giannis Antetokounmpo,14.64,2021-10-29,14.64,2,#2c4e3c
Rudy Gobert,14.44,2021-10-29,14.44,3,#244e34
Jonas Valanciunas,12.32,2021-10-29,12.64,4,#0c223c
Luka Doncic,11.2,2021-10-29,11.91,5,#1452b4
Nikola Vucevic,10.76,2021-10-29,10.76,6,#bc062c
Jakob Poeltl,9.64,2021-10-29,9.64,7,#161616
Jusuf Nurkic,8.49,2021-10-29,8.25,8,#cc0a2c
Ricky Rubio,7.45,2021-10-29,7.3,9,#6f243c
Bojan Bogdanovic,7.35,2021-10-29,7.35,10,#244e34
Nikola Jokic,18.51,2021-10-30,18.37,1,#fcc624
Rudy Gobert,15.21,2021-10-30,14.44,2,#244e34
Giannis Antetokounmpo,14.09,2021-10-30,14.64,3,#2c4e3c
Jonas Valanciunas,12.8,2021-10-30,12.32,4,#0c223c
Luka Doncic,11.2,2021-10-30,11.2,5,#1452b4
Nikola Vucevic,9.92,2021-10-30,10.76,6,#bc062c
Jakob Poeltl,8.6,2021-10-30,9.64,7,#161616
Jusuf Nurkic,8.49,2021-10-30,8.49,8,#cc0a2c
Bojan Bogdanovic,7.65,2021-10-30,7.35,9,#244e34
OG Anunoby,7.03,2021-10-30,7.23,10,#bc0f33
Nikola Jokic,18.51,2021-10-31,18.51,1,#fcc624
Rudy Gobert,14.62,2021-10-31,15.21,2,#244e34
Giannis Antetokounmpo,14.11,2021-10-31,14.09,3,#2c4e3c
Jonas Valanciunas,12.8,2021-10-31,12.8,4,#0c223c
Luka Doncic,11.39,2021-10-31,11.2,5,#1452b4
Nikola Vucevic,9.92,2021-10-31,9.92,6,#bc062c
Jakob Poeltl,8.6,2021-10-31,8.6,7,#161616
Jusuf Nurkic,8.36,2021-10-31,8.49,8,#cc0a2c
Bojan Bogdanovic,7.42,2021-10-31,7.65,9,#244e34
