name,value,year,lastValue,rank,tid
Rudy Gobert,14.68,2021-10-27,14.68,1,#244e34
Evan Fournier,6.92,2021-10-27,6.92,2,#f46e24
Nicolas Batum,5.82,2021-10-27,5.82,3,#0446ac
Théo Maledon,0.41,2021-10-27,0.41,4,#0472cc
Petr Cornelie,0.0,2021-10-27,0.0,5,#fcc624
Joel Ayayi,0.0,2021-10-27,0.0,6,#041e44
Timothe Luwawu-Cabarrot,-0.21,2021-10-27,-0.21,7,#cc062c
Killian Tillie,-1.53,2021-10-27,-1.53,8,#7c9abc
Rudy Gobert,14.44,2021-10-28,14.68,1,#244e34
Nicolas Batum,5.82,2021-10-28,5.82,2,#0446ac
Evan Fournier,5.81,2021-10-28,6.92,3,#f46e24
Théo Maledon,0.41,2021-10-28,0.41,4,#0472cc
Petr Cornelie,0.0,2021-10-28,0.0,5,#fcc624
Joel Ayayi,0.0,2021-10-28,0.0,6,#041e44
Timothe Luwawu-Cabarrot,-0.21,2021-10-28,-0.21,7,#cc062c
Killian Tillie,-1.53,2021-10-28,-1.53,8,#7c9abc
Rudy Gobert,14.44,2021-10-29,14.44,1,#244e34
Evan Fournier,5.81,2021-10-29,5.81,2,#f46e24
Nicolas Batum,5.51,2021-10-29,5.82,3,#0446ac
Théo Maledon,0.41,2021-10-29,0.41,4,#0472cc
Petr Cornelie,0.0,2021-10-29,0.0,5,#fcc624
Joel Ayayi,0.0,2021-10-29,0.0,6,#041e44
Timothe Luwawu-Cabarrot,-0.21,2021-10-29,-0.21,7,#cc062c
Killian Tillie,-1.53,2021-10-29,-1.53,8,#7c9abc
Rudy Gobert,15.21,2021-10-30,14.44,1,#244e34
Evan Fournier,5.88,2021-10-30,5.81,2,#f46e24
Nicolas Batum,5.51,2021-10-30,5.51,3,#0446ac
Théo Maledon,0.34,2021-10-30,0.41,4,#0472cc
Timothe Luwawu-Cabarrot,0.05,2021-10-30,-0.21,5,#cc062c
Petr Cornelie,0.0,2021-10-30,0.0,6,#fcc624
Joel Ayayi,0.0,2021-10-30,0.0,7,#041e44
Killian Tillie,-0.21,2021-10-30,-1.53,8,#7c9abc
Rudy Gobert,14.62,2021-10-31,15.21,1,#244e34
